;Nyx;John Barleycorn;Pawlow;Tresor;Babel;Moby's;Pinte;Stachel;Stadthüsje;Bla;Namenlos;Musiktruhe;Quiet Man;Wache
Nyx;0;300;230;450;600;500;500;350;550;500;500;290;140;290
John Barleycorn;300;0;84;160;280;300;300;400;600;550;600;350;200;350
Pawlow;230;84;0;240;350;290;280;350;550;500;500;300;140;300
Tresor;450;160;240;0;130;140;170;450;450;550;550;500;350;500
Babel;600;280;350;130;0;120;150;400;400;500;500;450;500;650
Moby's;500;300;290;140;120;0;22;290;280;400;400;350;400;550
Pinte;500;300;280;170;150;22;0;270;260;350;400;300;400;550
Stachel;350;400;350;450;400;290;270;0;290;290;350;41;230;400
Stadthüsje;550;600;550;450;400;280;260;290;0;100;120;350;230;500
Bla;500;550;500;550;500;400;350;290;100;0;40;350;350;400
Namenlos;500;600;500;550;500;400;400;350;120;40;0;350;400;350
Musiktruhe;290;350;300;500;450;350;300;41;350;350;350;0;190;350
Quiet Man;140;200;140;350;500;400;400;230;230;350;400;190;0;150
Wache;290;350;300;500;650;550;550;400;500;400;350;350;150;0
